32,512,64,True
16,1024,64,True
8,2048,64,True
4,4096,64,True
2,8192,64,True
1,16384,64,True
32,512,128,True
16,1024,128,True
8,2048,128,True
4,4096,128,True
2,8192,128,True
1,16384,128,True
32,512,64,False
16,1024,64,False
8,2048,64,False
4,4096,64,False
2,8192,64,False
1,16384,64,False
32,512,128,False
16,1024,128,False
8,2048,128,False
4,4096,128,False
2,8192,128,False
1,16384,128,False
32,512,256,True
16,1024,256,True
8,2048,256,True
4,4096,256,True
2,8192,256,True
1,16384,256,True
32,512,256,False
16,1024,256,False
8,2048,256,False
4,4096,256,False
2,8192,256,False
1,16384,256,False
